STG,TSDB
MLS,American Major League Soccer
USL,American USL Championship
Canadian Premier League,Canadian Premier League
Primera Division,Costa-Rica Liga FPD
Liga Nacional,Guatemala Liga Nacional
Leagues Cup,Leagues Cup
Primera Division,Mexican Primera League
US Open Cup,US Open Cup
USL League One,USL League One
CONCACAF Champions Cup,CONCACAF Champions Cup
