date,time,sport,channel,comp,ht,at
2025-06-12,6:55PM,Football,SuperSport La Liga,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:55PM,Football,Fox Sports 1 BR,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,FuboTV,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,LaLiga TV Hypermotion,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,LaLiga TV UK,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,MAX Sport 4 BG,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:55PM,Football,Nova Sport 4 CZ,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Novasports 1,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,S Sport TR,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,S Sport+ TR,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Sportbox.ru,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:55PM,Football,TV 2 Play,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:50PM,Football,Go3 Sport 1 LV,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,TOD KSA,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,LaLiga TV BAR,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Premier Sports 1 IE,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Viaplay Sports 1 UK,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Arena Sport 3 HR,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Arena Sport 4 RS,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:30PM,Football,Arena Sport 4 SI,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:53PM,Football,Bein Sports 3 Australia,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:50PM,Football,BeIN Sports 5 Qatar,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:45PM,Football,Blue Sport 1 CH,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:55PM,Football,C More Sport 2 FI,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,DAZN Austria,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,DAZN Germany,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,DAZN Italy,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,DAZN Portugal,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,DAZN Spain,Spanish La Liga 2,Mirandes,Santander
2025-06-12,7:00PM,Football,Eleven Sports 1 Portugal,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:50PM,Football,ESPN +,Spanish La Liga 2,Mirandes,Santander
2025-06-12,6:50PM,Football,ESPN Deportes,Spanish La Liga 2,Mirandes,Santander
