STG,TSDB
NFL,NFL
CFL,CFL
USFL,United States Football League
Pre-season Football,CFL
European League of Football,European League of Football
NCAA FCS,NCAA Division 1
NCAA FBS,NCAA Division 1
XFL,XFL
UFL,UFL
