STG,TSDB
La Liga,Spanish La Liga
LaLiga 1 2 3,Spanish La Liga 2
Copa del Rey,Copa del Rey
Super Cup,Supercopa de Espana
Primera RFEF 1,Spanish Primera RFEF Group 1
Primera RFEF 2,Spanish Primera RFEF Group 2
