date,time,sport,channel,comp,ht,at
2025-06-14,12:30AM,Basketball,BeIn Sports HD 1 France,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TNT Sports 1,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Canal + Sport Polska,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Cosmote Sport 4 GR,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Austria,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Germany,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Diema Sport 2 BG,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 1 Netherlands,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Honduras,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Nicaragua,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 4 Netherlands,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN Australia,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Colombia,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Deportes,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN New Zealand,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Paraguay,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN South Africa,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Movistar Deportes,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,NBA League Pass,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Nova Sport 2 CZ,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,RDS 2,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,S Sport TR,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,S Sport+ TR,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sky Sport NBA,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport 1 Hungary,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport 5 IL,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport TV 1,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sportkanalen SWE,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Stöð 2 Sport 2 IS,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TSN 3,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TSN 4,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TV 2 Sport X,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Go3 Sport 1 LV,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,VG+ NO,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Belgium,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ABC,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,AFN Sports,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 HR,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 Premium RS,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 SI,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:00AM,Basketball,BeIN Sports 1 Qatar,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,BeIN Sports English 1 Qatar,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,BeIN Sports French 1 Qatar,NBA Cup,Indiana Pacers,Oklahoma City Thunder
