STG,TSDB
Carabao Cup,EFL Cup
League One,English League 1
League Two,English League 2
Championship,English League Championship
National League,English National League
Premier League,English Premier League
FA Community Shield,FA Community Shield
FA Cup,FA Cup
Checkatrade Trophy,EFL Trophy
