date,time,sport,channel,comp,ht,at
2025-06-15,4:00PM,Handball,Arena Sport 1 HR,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,Arena Sport 1 Premium RS,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:50PM,Handball,DAZN 2 Spain,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,DAZN Austria,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,DAZN Germany,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,DAZN Spain,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,DAZN Switzerland,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,Eurosport 2 France,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:50PM,Handball,Eurosport 2 Poland,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:30PM,Handball,FOX Sports 2 Argentina,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,4:00PM,Handball,Prima Sport 1,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:45PM,Handball,Sport 1 Czechia,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:15PM,Handball,Sport 1 Hungary,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:50PM,Handball,Sport TV 3,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:45PM,Handball,TV 2 Play,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:45PM,Handball,TV 2 Sport 2,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:55PM,Handball,Viaplay DK,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:50PM,Handball,Viaplay NO,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:50PM,Handball,Viaplay SE,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,3:55PM,Handball,Ziggo Sport 5,EHF Champions League,Füchse Berlin,SC Magdeburg
2025-06-15,1:00PM,Handball,Arena Sport 1 HR,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,Arena Sport 1 Premium RS,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:50PM,Handball,DAZN 2 Spain,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,DAZN Austria,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,DAZN Germany,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,DAZN Switzerland,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:30PM,Handball,FOX Sports 2 Argentina,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,Prima Sport 1,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,1:00PM,Handball,Sport 1 Czechia,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:45PM,Handball,Sport 1 Hungary,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:50PM,Handball,Sport TV 3,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:45PM,Handball,TV 2 Play,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:55PM,Handball,Viaplay DK,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:55PM,Handball,Viaplay NO,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:55PM,Handball,Viaplay SE,EHF Champions League,HBC Nantes,FC Barcelona Handbol
2025-06-15,12:55PM,Handball,Ziggo Sport 5,EHF Champions League,HBC Nantes,FC Barcelona Handbol
