STG,TSDB
Unics Kazan,BC UNICS
Zenit Petersburg,BC Zenit Saint Petersburg
BC Dnipro,BC Dnipro
BK Zaporozhye,BC Zaporizhya
Budivelnyk,BC Budivelnyk
Cherkaski Mavpy,Cherkaski Mavpy
Kharkivski Sokoly,Kharkivski Soko
Khimik,BC Khimik
Kryvbas,BC Kryvbas
Kyiv Basket,Kyiv-Basket
Mykolaiv,MBC Mykolaiv
Odessa,BC Odessa
Prometey,BC Prometey
Ternopil-TNEU,BC Ternopil
Bnei Herzliya,Bnei Herzliya Basket
Galil Elyon,Hapoel Galil Elyon
Gilboa Galil,Hapoel Gilboa Galil
Hapoel Beer Sheva,Hapoel Beer Sheva BC
Hapoel Eilat,Hapoel Eilat BC
Hapoel Haifa,Hapoel Haifa BC
Hapoel Holon,Hapoel Holon
Hapoel M. Jerusalem,Hapoel Jerusalem BC
Hapoel Tel-Aviv,Hapoel Tel Aviv BC
Maccabi Rishon,Maccabi Rishon LeZion
Maccabi Tel Aviv,Maccabi Tel Aviv BC
Nes Ziona,Ironi Nes Ziona BC
Agua Caliente Clippers,Agua Caliente Clippers
Austin Toros Spurs,Austin Spurs
Canton Charge,Cleveland Charge
Capital City Go-Go,Capital City Go-Go
College Park Skyhawks,College Park Skyhawks
Delaware 87ers,Delaware Blue Coats
Erie BayHawks,Birmingham Squadron
Fort Wayne Mad Ants,Fort Wayne Mad Ants
Grand Rapids Drive,Grand Rapids Gold
Greensboro Swarm,Greensboro Swarm
Iowa Wolves,Iowa Wolves
Lakeland Magic,Lakeland Magic
Long Island Nets,Long Island Nets
Maine Red Claws,Maine Celtics
Memphis Hustle,Memphis Hustle
Northern Arizona Suns,Motor City Cruise
Oklahoma City Blue,Oklahoma City Blue
Raptors 905,Raptors 905
Rio Grande Valley Vipers,Rio Grande Valley Vipers
Salt Lake City Stars,Salt Lake City Stars
Santa Cruz Warriors,Santa Cruz Warriors
Sioux Falls Skyforce,Sioux Falls Skyforce
South Bay Lakers,South Bay Lakers
Stockton Kings,Stockton Kings
Texas Legends,Texas Legends
Westchester,Westchester Knicks
Windy City Bulls,Windy City Bulls
Wisconsin Herd,Wisconsin Herd
Adelaide Lightning W,Adelaide Lightning
Bendigo W,Bendigo Spirit
Canberra Capitals W,Canberra Capitals
Dandenong W,Melbourne Boomers
Melbourne Boomers W,Perth Lynx
Perth Lynx W,Southside Flyers
Sydney W,Sydney Uni Flames
Townsville W,Townsville Fire
Beijing,Beijing Ducks
Beijing Royal Fighters,Beijing Royal Fighters
Fujian,Fujian Xunxing
Guangdong,Guangdong Southern Tigers
Guangzhou,Guangzhou Long-Lions
Jiangsu Dragons,Jiangsu Dragons
Jilin,Jilin Northeast Tigers
Liaoning,Liaoning Flying Leopards
Nanjing Tongxi,Nanjing Monkey Kings
Ningbo Rockets,Ningbo Rockets
Qingdao,Qingdao Eagles
Shandong,Shandong Golden Star
Shanghai,Shanghai Sharks
Shanxi Zhongyu,Shanxi Loongs
Shenzhen,Shenzhen Aviators
Sichuan,Sichuan Blue Whales
Tianjin,Tianjin Ronggang
Xinjiang,Xinjiang Flying Tigers
Zhejiang Chouzhou,Zhejiang Chouzhou
Zhejiang Guangsha,Zhejiang Guangsha
Afyon Belediye,Afyon Belediye SK
Anadolu Efes,Anadolu Efes SK
Bahcesehir Koleji,Bahçeşehir Koleji SK
Besiktas,Besiktas Basketbol
Bursaspor,Bursaspor Basketbol
Buyukcekmece,Büyükçekmece Basketbol
Darussafaka,Darüşşafaka SK
Fenerbahce,Fenerbahçe Basketbol
Galatasaray,Galatasaray SK
Gaziantep,Gaziantep Basketbol
Merkezefendi,Merkezefendi Belediyesi Denizli Basket
Petkim Spor,Petkim Spor
Pinar Karsiyaka,Karşıyaka Basket
Tofas,Tofaş SK
Turk Telekom,Türk Telekom BK
Yalovaspor,Yalovaspor BK
AEK Athens,AEK BC
Apollon Patras,Apollon Patras BC
Aris,Aris BC
Ionikos,Ionikos Nikaias BC
Iraklis,Iraklis BC
Kolossos Rhodes,Kolossos BC
Ermis Agias,Larisa BC
Lavrio,Lavrio BC
Olympiakos,Olympiacos BC
Panathinaikos,Panathinaikos BC
PAOK,PAOK BC
Peristeri,Peristeri BC
Prometheus,Promitheas Patras BC
Cluj Napoca,CS Universitatea Cluj-Napoca
