STG,TSDB
Zurich W,Zürich Women
Slavia Prague W,Slavia Praha Women
Sparta Prague W,Sparta Praha Women
Adelaide W,Adelaide United Women
Brisbane Roar W,Brisbane Roar FC Women
Canberra W,Canberra United Women
Central Coast Mariners W,Central Coast Mariners Women
Melbourne City W,Melbourne City FC Women
Melbourne Victory W,Melbourne Victory Women
Newcastle W,Newcastle Jets Women
Perth W,Perth Glory Women
Sydney W,Sydney FC Women
Wellington Phoenix W,Wellington Phoenix Women
WS Wanderers W,Western Sydney Wanderers FC Women
Western United W,Western United FC Women
Angel City W,Angel City
Bay FC W,Bay FC
Chicago W,Chicago Stars
Houston Dash W,Houston Dash
Kansas City NWSL W,Kansas City Current
North Carolina Courage W,North Carolina Courage
Orlando Pride W,Orlando Pride
Portland Thorns W,Portland Thorns
Racing Louisville W,Racing Louisville
San Diego Wave W,San Diego Wave
Seattle Reign W,Seattle Reign
Sky Blue W,NY/NJ Gotham
Utah Royals W,Utah Royals
Washington Spirit W,Washington Spirit
Atlas W,Atlas FC Femenil
Atl. San Luis W,Atlético de San Luis Femenil
Guadalajara Chivas W,C.D. Guadalajara Femenil
Monterrey W,C.F. Monterrey Femenil
Pachuca W,C.F. Pachuca Femenil
Club America W,Club América Femenil
Club Leon W,Club León Femenil
Necaxa W,Club Necaxa Femenil
Santos Laguna W,Club Santos Laguna Femenil
Club Tijuana W,Club Tijuana Femenil
U.N.A.M.- Pumas W,Club Universidad Nacional Femenil
Cruz Azul W,Cruz Azul Femenil
Toluca W,Deportivo Toluca F.C. Femenil
Juarez W,FC Juárez Femenil
Mazatlan FC W,Mazatlán FC Femenil
Puebla W,Puebla Femenil
Queretaro W,Querétaro FC Femenil
U.A.N.L.- Tigres W,Tigres UANL Femenil
Brooklyn W,Brooklyn FC Women
Carolina Ascent W,Carolina Ascent FC Women
Dallas Trinity W,Dallas Trinity FC
DC Power W,DC Power FC
Fort Lauderdale W,Fort Lauderdale United FC
Lexington W,Lexington SC Women
Spokane Zephyr W,Spokane Zephyr
Tampa Bay Sun W,Tampa Bay Sun FC
Albania W,Albania Women
Argentina W,Argentina Women
Australia W,Australia Women
Austria W,Austria Women
Azerbaijan W,Azerbaijan Women
Belarus W,Belarus Women
Belgium W,Belgium Women
Bosnia & Herzegovina W,Bosnia-Herzegovina Women
Brazil W,Brazil Women
Canada W,Canada Women
Chile W,Chile Women
China W,China Women
Chinese Taipei W,Chinese Taipei Women
Colombia W,Colombia Women
Costa Rica W,Costa Rica Women
Croatia W,Croatia Women
Cyprus W,Cyprus Women
Czech Republic W,Czech Republic Women
Denmark W,Denmark Women
England W,England Women
Estonia W,Estonia Women
Faroe Islands W,Faroe Islands Women
Finland W,Finland Women
France W,France Women
Georgia W,Georgia Women
Germany W,Germany Women
Greece W,Greece Women
Haiti W,Haiti Women
Hungary W,Hungary Women
Iceland W,Iceland Women
Iran W,Iran Women
Ireland W,Ireland Women
Israel W,Israel Women
Italy W,Italy Women
Jamaica W,Jamaica Women
Japan W,Japan Women
Kazakhstan W,Kazakhstan Women
Kosovo W,Kosovo Women
Latvia W,Latvia Women
Lithuania W,Lithuania W
Malta W,Malta Women
Mexico W,Mexico Women
Moldova W,Moldova Women
Montenegro W,Montenegro Women
Morocco W,Morocco Women
Netherlands W,Netherlands Women
New Zealand W,New Zealand Women
Nigeria W,Nigeria Women
FYR Macedonia,North Macedonia
Northern Ireland W,Northern Ireland Women
Norway W,Norway Women
Panama W,Panama Women
Philippines W,Philippines Women
Poland W,Poland Women
Portugal W,Portugal Women
Romania W,Romania Women
Russia W,Russian Federation Women
Scotland W,Scotland Women
Serbia W,Serbia Women
Slovakia W,Slovakia Women
Slovenia W,Slovenia Women
South Africa W,South Africa Women
South Korea W,South Korea Women
Spain W,Spain Women
Sweden W,Sweden Women
Switzerland W,Switzerland Women
Thailand W,Thailand Women
Turkey W,Turkey Women
Ukraine W,Ukraine Women
USA W,USA Women
Vietnam W,Vietnam Women
Wales W,Wales Women
Zambia W,Zambia Women
