STG,TSDB
2. Bundesliga,German 2. Bundesliga
Bundesliga,German Bundesliga
Regionalliga Nordost,German Regionalliga Nordost
Regionalliga Sudwest,German Regionalliga SudWest
Super Cup,German Super Cup
DFB Pokal,DFB-Pokal
